# Chart Rename Mapping
# Format: old_script.py | new_script.py | old_pdf | new_pdf | url

generate_beam_example_tree_bsc.py | beam_example_tree.py | beam_example_tree_bsc.pdf | beam_example_tree.pdf | https://quantlet.com/NLPDecoding_Beamexampletree
generate_beam_search_graphviz.py | beam_search_graphviz.py | beam_search_graphviz.pdf | beam_search_graphviz.pdf | https://quantlet.com/NLPDecoding_Beamsearchgraphviz
generate_computational_cost_comparison_bsc.py | computational_cost_comparison.py | computational_cost_comparison_bsc.pdf | computational_cost_comparison.pdf | https://quantlet.com/NLPDecoding_Computationalcostcomparison
generate_contrastive_mechanism_bsc.py | contrastive_mechanism.py | contrastive_mechanism_bsc.pdf | contrastive_mechanism.pdf | https://quantlet.com/NLPDecoding_Contrastivemechanism
generate_contrastive_vs_nucleus_bsc.py | contrastive_vs_nucleus.py | contrastive_vs_nucleus_bsc.pdf | contrastive_vs_nucleus.pdf | https://quantlet.com/NLPDecoding_Contrastivevsnucleus
generate_degeneration_problem_bsc.py | degeneration_problem.py | degeneration_problem_bsc.pdf | degeneration_problem.pdf | https://quantlet.com/NLPDecoding_Degenerationproblem
generate_extreme_computational_cost_bsc.py | extreme_computational_cost.py | extreme_computational_cost_bsc.pdf | extreme_computational_cost.pdf | https://quantlet.com/NLPDecoding_Extremecomputationalcost
generate_extreme_coverage_comparison_bsc.py | extreme_coverage_comparison.py | extreme_coverage_comparison_bsc.pdf | extreme_coverage_comparison.pdf | https://quantlet.com/NLPDecoding_Extremecoveragecomparison
generate_extreme_full_beam_explosion_bsc.py | extreme_full_beam_explosion.py | extreme_full_beam_explosion_bsc.pdf | extreme_full_beam_explosion.pdf | https://quantlet.com/NLPDecoding_Extremefullbeamexplosion
generate_extreme_greedy_single_path_bsc.py | extreme_greedy_single_path.py | extreme_greedy_single_path_bsc.pdf | extreme_greedy_single_path.pdf | https://quantlet.com/NLPDecoding_Extremegreedysinglepath
generate_full_exploration_graphviz.py | full_exploration_graphviz.py | full_exploration_graphviz.pdf | full_exploration_graphviz.pdf | https://quantlet.com/NLPDecoding_Fullexplorationgraphviz
